State,District Name,Received,Resolved,Order Type,Region
CO,Adams County        14,2009-08-07,2010-02-09,Voluntary,West
CO,Adams County        14,2010-03-25,2014-04-25,Voluntary,West
IL,Addison School Dist 4,2012-10-11,2013-05-06,Voluntary,Midwest
IL,Adler School Of Professional Psychology,2011-12-27,2012-06-22,Voluntary,Midwest
NY,Albany City School District,2012-10-10,2013-05-10,Voluntary,Northeast
IA,Ames Community School District,2003-05-07,2004-05-10,Voluntary,Midwest
KY,Anderson Co,2014-01-31,2014-06-09,Voluntary,
SC,Anderson County School District 05,2010-02-26,2013-02-04,Voluntary,Southeast
CT,Ansonia Board Of Education,2009-04-03,2010-09-29,Voluntary,Northeast
CA,Antioch Unified,2009-09-23,2011-05-20,Voluntary,West
CA,Antioch Unified,2012-09-05,2013-09-20,Voluntary,West
CA,Argosy University,2012-01-09,2013-01-28,Voluntary,West
AZ,Arizona Depart Of Education,2005-11-28,2012-08-31,Voluntary,Southwest
TX,Arlington Isd,2011-08-25,2012-02-21,Voluntary,Southwest
GA,Atlanta Christian College,2009-04-20,2011-05-26,Voluntary,Southeast
IL,Aurora East Unit School Dist 131,2012-12-12,2013-07-17,Voluntary,Midwest
IL,Aurora East Unit School Dist 131,2013-06-06,2013-12-19,Voluntary,Midwest
CO,Aurora Public School District,2007-12-07,2008-03-28,Voluntary,West
AZ,Avondale Elementary District,2001-09-04,2004-07-09,Voluntary,Southwest
AZ,Avondale Elementary District,2013-05-09,2013-11-20,Voluntary,Southwest
KS,Baker University,2009-12-31,2010-07-08,Voluntary,Midwest
PA,Baldwin-Whitehall Sd,2013-03-25,2013-12-13,Voluntary,Northeast
DC,Basis Dc Pcs,2013-02-19,2013-11-07,Voluntary,
SC,Beaufort County School District,2009-05-21,2010-05-10,Voluntary,Southeast
MA,Belmont,2012-03-27,2012-09-21,Voluntary,Northeast
OK,Bennington Public Schools,2012-10-09,2013-03-25,Voluntary,Southwest
CT,Berlin Board Of Education,2012-03-02,2012-08-29,Voluntary,Northeast
AL,Bessemer City Sch Dist,2013-01-17,2013-07-16,Voluntary,Southeast
GA,Bill Ireland Youth Development Center,2008-02-29,2009-07-01,Voluntary,Southeast
NY,Boces Questar Iii,2014-02-14,2014-05-12,Voluntary,Northeast
